Nome,Categoria,Densità,Unità di riferimento,"Energia, kilojoules (kJ)","Energia, calorie (kcal)","Lipidi, totali (g)","Acidi grassi, saturi (g)","Acidi grassi, monoinsaturi (g)","Acidi grassi, polinsaturi (g)",Colesterolo (mg),"Glucidi, disponibili (g)",Zuccheri (g),Amido (g),Fibra alimentare (g),Proteine (g),Sale (NaCl) (g),Alcool (g),Acqua (g),"Attività di vitamina A, RE (µg-RE)","Attività di vitamina A, RAE (µg-RE)",Retinolo (µg),Attività di beta-carotene (µg-BCE),Beta-carotene (µg),Vitamina B1 (tiamina) (mg),Vitamina B2 (riboflavina) (mg),Vitamina B6 (piridossina) (mg),Vitamina B12 (cobalamina) (µg),Niacina (mg),Folati (µg),Acido pantotenico (mg),Vitamina C (acido ascorbico) (mg),Vitamina D (calciferolo) (µg),Attività di vitamina E (mg-ATE),Potassio (K) (mg),Sodio (Na) (mg),Cloro (Cl) (mg),Calcio (Ca) (mg),Magnesio (Mg) (mg),Fosforo (P) (mg),Ferro (Fe) (mg),Iodio (I) (µg),Zinco (Zn)  (mg),Selenio (Se) (µg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsiccia bernese (di lingua),Prodotti carnei e insaccati/Salsicce scottate,,per 100 g di parte edibile,1380,333,29.4,10.8,13.7,3,63,0,0,0,0,17.3,1.5,0,53.3,7,7,6,3,3,0.53,0.2,0.31,2.61,4.95,2.3,0.54,0,0,0.52,220,610,880,3.4,20,100,1.3,0.7,2.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsiccia bianca di carne di vitello (Weisswurst),Prodotti carnei e insaccati/Salsicce scottate,,per 100 g di parte edibile,910,220,18.9,7.3,8.7,1.9,50,0.6,0.6,0,0,11.8,2,0,68.6,12,10,8,22,22,0.2,0.17,0.15,0.43,1.83,2.7,0.33,1,0.1,0.28,140,810,1240,21,10,160,0.7,2.3,1.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsiccia cruda (in media),Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,1890,456,40.7,15.6,18.6,3.7,80,0.3,0.3,0,0,22,3.7,0,36.9,5,4,4,5,5,0.49,0.2,0.29,2.22,6.02,2.6,0.7,31.7,0.8,0.34,340,1490,2300,6.8,19,180,1.5,0.9,3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsiccia cruda con maturazione troncata (in media),Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,1470,356,31.8,11.8,14.8,3.2,63,0.7,0.7,0,0.2,16.5,2.2,0.1,50.8,4,4,3,3,3,0.47,0.14,0.24,1.07,4.11,4.3,0.61,38.8,0,0.35,220,890,1310,11,18,130,0.9,1.3,1.8,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsiccia da arrostire di maiale,Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,980,236,18.8,7.4,8.8,1.8,67,0.5,0.5,0,0,16.2,1.9,0,61.8,3,3,3,0,0,0.48,0.12,0.21,0.4,4.7,2.5,0.7,2.2,tr.,tr.,260,760,1060,10,18,160,1,nd,2.1,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salsiccia da arrostire di maiale, alla griglia (senza aggiunta di grassi o sale)",Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,1170,283,22.3,8.7,10.4,2.1,83,0.6,0.6,0,0,19.8,2.1,0,57.2,4,4,4,0,0,0.45,0.14,0.2,0.45,4.99,2.7,0.74,2.2,0,0,280,860,1330,13,22,190,1.3,nd,2.6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsiccia da cuocere (in media),Prodotti carnei e insaccati/Insaccati cotti,,per 100 g di parte edibile,1230,297,25.6,9.4,11.7,3.1,93,1.1,1,0.1,0.1,15.3,2.6,0.1,57.7,1088,1088,1088,5,5,0.21,0.46,0.2,4.03,4.2,14.1,0.91,10.9,0,0.38,190,1030,1020,25,12,120,8.8,3.9,2.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsiccia da cuocere affumicata (in media),Prodotti carnei e insaccati/Salsicce scottate,,per 100 g di parte edibile,1030,249,21.2,8.2,9.8,1.8,51,0.5,0.5,0,0,14,2.2,0,64.3,2,2,2,3,3,0.24,0.12,0.1,0.8,3.14,0.9,0.42,35.4,0.4,0.08,180,870,1220,8.5,13,180,0.9,0.4,1.9,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsiccia da cuocere non affumicata (in media),Prodotti carnei e insaccati/Salsicce scottate,,per 100 g di parte edibile,1040,251,21.6,8.1,10.2,2.2,58,0.8,0.8,0,0,13.4,2,0,64.2,7,6,6,7,7,0.22,0.13,0.15,0.8,2.97,2,0.46,21.4,0.4,0.16,140,810,1130,12,13,170,0.7,1.2,1.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsiccia del birraio,Prodotti carnei e insaccati/Salsicce scottate,,per 100 g di parte edibile,1210,291,25.4,9.4,11.8,2.6,63,0,0,0,0,15.6,1.4,0.1,59,5,5,5,2,2,0.23,0.16,0.13,1.52,2.65,1.6,0.29,0,0,0.43,120,570,870,2.9,13,79,1.2,0.7,2.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsiccia del cacciatore ,Prodotti carnei e insaccati/Salsicce scottate,,per 100 g di parte edibile,1010,244,23,8.5,10.8,2.3,46,0.2,0.2,0,0,9.2,2.1,0,67.6,4,4,4,2,2,0.1,0.1,0.06,0.8,1.78,1.4,0.19,52.2,0,0.31,81,850,1280,5.5,7.3,140,0.9,0.6,1.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsiccia di fegato,Prodotti carnei e insaccati/Insaccati cotti,,per 100 g di parte edibile,1050,253,19.1,7.2,8.7,2.2,111,0.5,0.3,0.2,0.1,19.8,2.2,0,60.5,1526,1526,1525,3,3,0.23,0.64,0.24,5.14,4.15,18.9,1.21,4.1,0,0.52,170,860,1280,5,16,130,3.6,4.3,2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsiccia di Lione,Prodotti carnei e insaccati/Salsicce scottate,,per 100 g di parte edibile,1010,244,21.8,8.2,10.2,1.6,46,0.5,0.5,0,0,11.5,2.1,0,62.9,0,0,0,nd,nd,0.24,0.12,0.16,0.7,2.6,nd,0.5,39.7,1,0,170,850,1160,6.5,11,180,0.5,nd,1.3,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsiccia di maiale,Prodotti carnei e insaccati/Salsicce scottate,,per 100 g di parte edibile,1110,268,22.4,9,10.4,1.9,61,0.5,0.5,0,0,16.2,2.3,0,57.8,0,0,0,nd,nd,0.29,0.13,0.16,0.8,4,nd,0.6,34.6,0,0,260,930,1290,10,17,190,1,nd,2.3,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsiccia di vitello ,Prodotti carnei e insaccati/Salsicce scottate,,per 100 g di parte edibile,943,228,19.2,7.9,9.7,1.9,53,1.2,1.2,0,0,12.5,1.9,0,63.4,19,19,19,nd,nd,0.16,0.11,0.13,0.6,2.54,nd,0.3,5.7,0.8,tr.,150,760,1020,20,12,180,0.5,nd,1.5,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsiccia viennese,Prodotti carnei e insaccati/Salsicce scottate,,per 100 g di parte edibile,1000,242,20.4,7.8,9.4,1.6,51,0.6,0.6,0,0,13.9,2.2,0,61.9,1,1,1,3,3,0.23,0.11,0.11,0.64,3.47,0.9,0.5,17.5,1,tr.,190,870,1180,7.9,13,190,0.8,0.4,1.8,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salsiccia viennese, cotta",Prodotti carnei e insaccati/Salsicce scottate,,per 100 g di parte edibile,911,220,18.4,7,8.5,1.4,50,0.6,0.6,0,0,13,1.8,0,68.1,1,1,1,2,2,0.17,0.1,0.08,0.44,2.53,0.6,0.36,11.9,0.9,0,160,720,1150,6.5,13,180,0.7,0.4,1.7,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsiccia vodese,Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,1480,358,32.3,12,14.8,2.9,71,0.2,0.2,0,0,16.5,2.1,0,47.9,0,0,0,nd,nd,0.45,0.12,0.21,0.7,4.7,nd,0.9,19.5,0,0,260,830,1280,14,17,170,0.7,nd,1.8,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salsiz,Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,1720,415,34.9,13.6,15.7,3,80,0,0,0,0,25.2,3.9,0,34.4,0,0,0,nd,nd,0.42,0.15,0.34,1.7,6.9,nd,0.9,7,1.1,0,400,1540,2520,16,15,150,2.2,nd,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saltimbocca, cotta in olio di colza HOLL",Carne e frattaglie/Vitello,,per 100 g di parte edibile,905,216,11.2,1.8,7.2,1.2,85,0.1,0.1,0,0,28.8,1.7,0,59.9,8,5,3,26,26,0.21,0.3,0.31,0.85,10.09,12.4,1.19,1,0.1,0.67,340,670,1130,9.1,30,250,3,0.2,3.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salvia, fresca",Verdure/Erbe aromatiche,,per 100 g di parte edibile,246,59,2.1,1.1,0.3,0.3,0,6.9,6.8,0.1,2.9,1.7,0,0,85,471,235,0,2824,2780,0.12,0.06,0.54,0,0.92,0,0,0,0,0.75,170,2,32,270,69,15,4.5,1,0.8,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samosa, cotta al forno",Cibi/Cibi asiatici,,per 100 g di parte edibile,1410,337,19.1,4.7,8.8,4.1,0,33,2.5,30.1,3.5,6.7,0.9,0,38.2,161,145,129,192,192,0.2,0.07,0.14,0.02,1.17,22.2,0.39,10.5,0.8,4.05,240,360,580,18,27,97,1.2,3.1,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samosa, fritta",Cibi/Cibi asiatici,,per 100 g di parte edibile,1530,367,23.5,4.8,12.5,4.5,0,31.1,2.4,28.3,3.3,6.3,0.8,0,36.2,151,136,121,180,180,0.18,0.06,0.13,0.02,1.1,20.9,0.37,9.9,0.8,4.16,230,340,540,17,26,92,1.1,2.9,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich (Baguette) al formaggio a pasta semi dura,Cibi/Sandwich,,per 100 g di parte edibile,749,179,7.6,2.8,1.9,2.3,17,20,1.3,18.5,1.7,6.7,1.1,0,64.2,71,53,34,222,222,0.06,0.07,0.08,0.19,0.45,14.5,0.24,6.7,0.1,2.33,150,440,480,110,16,110,0.7,3,0.8,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich (baguette) al prosciutto,Cibi/Sandwich,,per 100 g di parte edibile,551,131,3.7,0.6,1.1,1.7,12,17.4,2.1,15.1,1.6,6.3,1.2,0,71.3,29,15,1,169,169,0.19,0.06,0.13,0.03,1.36,12,0.28,15.4,0,1.91,190,460,520,16,15,88,0.7,1.8,0.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich (baguette) al prosciutto crudo,Cibi/Sandwich,,per 100 g di parte edibile,692,165,5.7,1.3,1.9,2.1,19,18.7,1.3,17.2,1.5,8.8,1.4,0,65.5,37,19,1,216,216,0.22,0.07,0.15,0.09,2.36,12.9,0.47,7.8,0.1,2.16,230,540,870,14,17,88,1,1.7,0.8,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich (baguette) con affettati,Cibi/Sandwich,,per 100 g di parte edibile,657,157,7,1.9,2.6,2.1,14,17.3,2.1,15.1,1.5,5.4,0.8,0,69,33,17,1,191,191,0.1,0.05,0.09,0.16,0.83,12.2,0.27,10.9,0.1,1.92,150,330,510,15,13,62,0.6,1.8,0.5,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich (baguette) con carne secca,Cibi/Sandwich,,per 100 g di parte edibile,593,141,3.9,0.7,1.1,1.8,14,18.4,2.1,16.1,1.7,7.2,1.2,0,69,31,16,1,180,180,0.07,0.05,0.11,0.17,1.43,12.4,0.31,6.8,0,2.01,200,500,610,15,16,73,1,1.3,1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich (baguette) con Fleischkäse (pasticcio di carne),Cibi/Sandwich,,per 100 g di parte edibile,921,220,9.3,2.2,3.2,3.2,70,25.1,1.1,23.7,1.6,8,1.2,0,56.3,36,28,21,91,91,0.11,0.08,0.09,0.23,0.84,17.1,0.54,9.2,0.4,2.98,150,460,680,17,15,93,0.8,5,0.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich (baguette) con formaggio a pasta molle,Cibi/Sandwich,,per 100 g di parte edibile,766,183,7.6,2.6,1.9,2.4,17,21.4,1.2,19.9,1.7,6.3,1.3,0,63.3,59,42,26,199,199,0.07,0.08,0.08,0.2,0.5,19.1,0.26,5.5,0.1,2.46,140,520,580,66,15,81,0.7,3.3,0.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich (baguette) con mozzarella,Cibi/Sandwich,,per 100 g di parte edibile,685,163,6.2,1.9,1.7,2.2,12,20.1,1.4,18.5,1.7,5.9,1,0,66.4,57,39,21,220,220,0.07,0.06,0.07,0.18,0.48,14.8,0.21,6.7,0.1,2.32,140,410,490,50,14,80,0.7,1.8,0.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich (baguette) con salame,Cibi/Sandwich,,per 100 g di parte edibile,662,158,6.5,1.6,2.2,2.1,14,18.4,2.1,16.1,1.7,5.8,1.2,0,68,31,16,1,180,180,0.14,0.06,0.1,0.12,1.17,12.7,0.29,8.4,0.2,2.01,170,490,600,15,14,60,0.7,1.4,0.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich (pane bigio) al formaggio a pasta molle,Cibi/Sandwich,,per 100 g di parte edibile,731,174,7.7,2.6,1.9,2.5,17,18.6,1.2,17.3,2.2,6.5,1.3,0,65.2,59,42,26,200,200,0.11,0.1,0.08,0.2,0.69,23.8,0.29,5.5,0.1,2.49,150,520,560,70,22,110,1,3.4,0.9,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich (pane bigio) al formaggio a pasta semi dura,Cibi/Sandwich,,per 100 g di parte edibile,716,171,7.7,2.8,1.9,2.3,17,17.5,1.3,16,2.1,6.9,1.1,0,66.1,71,53,34,222,222,0.1,0.09,0.07,0.19,0.63,18.8,0.27,6.7,0.1,2.36,150,430,470,120,22,130,0.9,3.1,1.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich (pane bigio) al prosciutto,Cibi/Sandwich,,per 100 g di parte edibile,524,125,3.8,0.6,1.1,1.8,12,15.3,2.1,13.1,1.9,6.5,1.1,0,72.8,29,15,1,169,169,0.22,0.07,0.12,0.03,1.51,15.5,0.31,15.4,0,1.94,200,450,510,19,20,110,0.9,1.9,0.8,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich (pane bigio) al prosciutto crudo,Cibi/Sandwich,,per 100 g di parte edibile,662,158,5.8,1.3,1.9,2.1,19,16.3,1.3,14.9,1.9,9,1.3,0,67.2,37,19,1,216,216,0.26,0.09,0.15,0.09,2.52,16.9,0.5,7.8,0.1,2.19,240,540,860,17,22,110,1.2,1.8,1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich (pane bigio) con affettati,Cibi/Sandwich,,per 100 g di parte edibile,630,151,7.1,1.9,2.6,2.1,14,15.3,2.1,13.1,1.9,5.5,0.8,0,70.5,33,17,1,191,191,0.13,0.06,0.09,0.16,0.98,15.8,0.29,10.9,0.1,1.94,160,330,490,18,18,83,0.8,1.9,0.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich (pane bigio) con carne secca,Cibi/Sandwich,,per 100 g di parte edibile,565,134,4,0.7,1.1,1.9,14,16.2,2.1,14,2,7.4,1.2,0,70.6,31,16,1,180,180,0.11,0.07,0.11,0.17,1.58,16.2,0.33,6.8,0,2.03,200,490,590,18,21,95,1.2,1.5,1.2,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich (pane bigio) con Fleischkäse (pasticcio di carne),Cibi/Sandwich,,per 100 g di parte edibile,879,210,9.5,2.3,3.3,3.2,70,21.9,1.1,20.6,2.2,8.2,1.1,0,58.7,36,28,21,91,91,0.17,0.1,0.08,0.23,1.07,22.7,0.58,9.2,0.4,3.02,150,450,660,22,23,130,1.1,5.2,1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich (pane bigio) con mozzarella,Cibi/Sandwich,,per 100 g di parte edibile,653,156,6.3,1.9,1.8,2.2,12,17.6,1.4,16,2.1,6.1,1,0,68.2,57,39,21,220,220,0.11,0.08,0.07,0.18,0.65,19.2,0.24,6.7,0.1,2.35,150,400,480,54,20,110,0.9,1.9,0.9,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich (pane bigio) con salame,Cibi/Sandwich,,per 100 g di parte edibile,634,151,6.5,1.6,2.2,2.1,14,16.2,2.1,14,2,5.9,1.2,0,69.6,31,16,1,180,180,0.17,0.07,0.1,0.11,1.32,16.5,0.31,8.4,0.2,2.03,180,480,590,18,19,83,0.9,1.5,0.8,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich con scaloppina e salsa cocktail,Cibi/Sandwich,,per 100 g di parte edibile,1100,262,11.2,1.1,6.7,2.6,47,25.1,0.5,24.4,1.3,14.6,1.3,0,48.2,13,10,7,38,38,0.08,0.14,0.14,0.41,4.01,17,0.6,0.5,0.1,2.78,190,520,790,9.6,19,130,1.5,2.1,1.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich con scaloppina e salsa tartara,Cibi/Sandwich,,per 100 g di parte edibile,1020,242,10.1,1,6,2.3,53,23.2,0.4,22.5,1.3,13.9,1.2,0,51.8,19,14,10,53,53,0.07,0.14,0.13,0.41,3.72,18.2,0.61,1.7,0.1,2.47,180,480,710,11,18,130,1.4,2.7,1.4,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanguinaccio,Prodotti carnei e insaccati/Insaccati cotti,,per 100 g di parte edibile,619,149,10.8,4.5,4.6,1,32,2.6,2.5,0,0.1,10.2,2,0,76.2,35,34,33,9,9,0.05,0.12,0.19,1.09,0.39,4.4,0.39,0.6,0,0.13,140,790,1230,61,13,64,30,6.9,1.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sardina sott'olio, sgocciolata",Pesce/Pesci di mare,,per 100 g di parte edibile,898,215,13.7,2.8,4.7,4.9,72,0,0,0,0,23,1.2,0,59.8,33,33,33,0,0,0.02,0.25,0.21,12,6.5,12,0.6,tr.,6,0.4,380,480,tr.,400,37,470,2.5,26,2.3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sardina, cruda",Pesce/Pesci di mare,,per 100 g di parte edibile,680,163,9,2.6,2.4,2.6,100,0,0,0,0,20.4,0.3,0,69,28,28,28,0,tr.,0.01,0.25,0.68,6,8.2,4,0.8,0,11,0.29,360,110,180,85,28,270,1.4,32,2.9,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saucisse aux choux,Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,1490,361,32.3,11.7,15,3.6,46,1.5,1.5,0,0.7,15.9,2.5,0,49.7,6,5,5,8,8,0.44,0.13,0.27,1.05,2.72,8.6,0.39,74.1,0,0.82,170,990,1470,16,18,73,0.7,1.4,1.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scaloppina di capriolo, cruda",Carne e frattaglie/Selvaggina,,per 100 g di parte edibile,445,105,1.7,0.7,0.5,0.5,75,0,0,nd,0,22.5,0.1,0,72.5,0,0,0,0,0,0.26,0.6,0.71,6.3,6.4,6,0.69,0,0.3,0.76,330,44,40,4.2,22,200,2.8,0.8,2.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scaloppina di vitello, cotta in olio di colza HOLL",Carne e frattaglie/Vitello,,per 100 g di parte edibile,775,185,8.6,0.9,5.9,1.1,83,0,0,0,0,26.8,1,0,64.6,4,4,3,3,3,0.05,0.3,0.27,0.98,9.73,15.1,1.11,0,0,0.63,280,390,560,5.8,29,240,2.8,0.3,3,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scampo, crudo",Pesce/Frutti di mare e crostacei,,per 100 g di parte edibile,395,93,1.3,0.2,0.3,0.4,95,0.8,0,0.8,0,19.6,0.9,0,75.9,0,0,0,0,0,0.13,0.01,0.21,0.9,5.67,17,1.5,3,0,1.5,210,340,tr.,29,68,180,2,240,4.6,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schiumini ,Dolciumi/Biscotti,,per 100 g di parte edibile,1870,444,10,6.2,3.4,0.3,0,83.4,82.4,0.7,2.2,4.1,0.1,0,0.7,1,1,0,8,8,0.02,0.14,0.02,0.02,0.21,4.9,0.1,0,0,0,290,46,68,18,41,46,2.1,2.4,0.7,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schiumini al cioccolato ,Dolciumi/Biscotti,,per 100 g di parte edibile,2040,486,19.5,12.1,6.6,0.7,6,71.5,70.2,0.7,2,5.2,0.3,0,1,30,28,27,20,20,0.05,0.26,0.03,0.01,0.3,5.8,0.14,1.3,0,0.11,450,110,96,120,47,130,2.1,9,1.1,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schüblig di campagna,Prodotti carnei e insaccati/Insaccati crudi,,per 100 g di parte edibile,2170,524,48.5,18.8,23,4.4,86,0.3,0.3,0,0,21.3,4,0.1,29.7,8,8,7,6,6,0.53,0.24,0.33,3.29,5.96,2.6,0.56,71,0,0.69,350,1590,2350,4.8,23,270,1.5,1.1,2.9,nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
